번호,소속,직위,성명,프로그램명,등위
1,옥계동부초등학교,교사,서동성,오늘의 미션,대상
2,(경남)김해대청초등학교,교사,이종황,글쓰기 분석 및 첨삭 AI (Writing Coach),금상
3,(광주)광주도평초등학교,교사,이주영,온글,금상
4,풍천풍서초등학교,교사,박희찬,도전! 꿈 성취 학교장 인증제(with AI),은상
5,(세종)반곡초등학교,교사,류지용,AI 회복적 서클 도우미,은상
6,(경남)호계중학교,교사,김건오,교과그림이야기 ChatBot,은상
7,(경기)남양주양지초등학교,교사,이조은,나의 영어 학습 파트너 ReadBit,동상
8,포항제철초등학교,교사,이효정,초등 AI 질문 탐구보고서 생성기,동상
9,화북초등학교,교사,이성근,AI 기반 루브릭 생성 및 자동 평가 시스템,동상
10,구미봉곡초등학교,교사,차주혁,수학 문장제 완전 정복,동상
11,사동고등학교,교사,김성엽,영작문 분석기 AI,동상
12,구미봉곡초등학교,교사,이병민,대한민국 경제 발전사 주식 투자 게임,동상
13,상리초등학교,교사,배용열,찰칵 맞춤법 검사기,장려상
14,(인천)도담초등학교,교사,유인근,인공지능 그림 동화책,장려상
15,(서울)경문고등학교,교사,지윤호,학생 정서 모니터링 AI 저널,장려상
16,영동중학교,교사,조지훈,입시톡,장려상
17,(대구)시지초등학교,교사,권진혁,AI 글쓰기 첨삭 지도 앱 기획서,장려상
18,아천초등학교,교사,권동신,AI 온기 피드백: 따뜻한 칭찬과 성장의 조언을 위한 AI 문장 생성기,장려상
19,(경북대학교)생물교육과,대학생,신채영,scitalk(사이언스톡),장려상
20,경북소프트웨어마이스터고등학교,교사,양윤직,classmate,장려상
21,현곡초등학교,교사,정훈탁,동물재능을 활용한 나의 미래 재능검사기,장려상
22,(숙명여자대학교)교육학부,대학생,신현정,Go등학교 길잡이,장려상